Last Updated Date,2/17/16,,
,,,
Country Name,Country Code,Area (sq km),Area (sq miles)
Afghanistan,AFG,652860,252071
Albania,ALB,28750,11100
Algeria,DZA,2381740,919595
American Samoa,ASM,200,77
Andorra,AND,470,182
Angola,AGO,1246700,481353
Antigua and Barbuda,ATG,440,170
Argentina,ARG,2780400,1073518
Armenia,ARM,29740,11483
Aruba,ABW,180,70
Australia,AUS,7741220,2988901
Austria,AUT,83879,32386
Azerbaijan,AZE,86600,33436
Bahamas,BHS,13880,5359
Bahrain,BHR,770,297
Bangladesh,BGD,148460,57321
Barbados,BRB,430,166
Belarus,BLR,207600,80155
Belgium,BEL,30530,11788
Belize,BLZ,22970,8869
Benin,BEN,114760,44309
Bermuda,BMU,50,19
Bhutan,BTN,38394,14824
Bolivia,BOL,1098580,424164
Bosnia and Herzegovina,BIH,51210,19772
Botswana,BWA,581730,224607
Brazil,BRA,8515770,3287956
Brunei Darussalam,BRN,5770,2228
Bulgaria,BGR,111000,42857
Burkina Faso,BFA,274220,105877
Burundi,BDI,27830,10745
Cabo Verde,CPV,4030,1556
Cambodia,KHM,181040,69900
Cameroon,CMR,475440,183568
Canada,CAN,9984670,3855101
Cayman Islands,CYM,264,102
Central African Republic,CAF,622980,240534
Chad,TCD,1284000,495755
Channel Islands,CHI,190,73
Chile,CHL,756096,291930
China,CHN,9562911,3692259
Colombia,COL,1141749,440832
Comoros,COM,1861,719
Congo Dem.Rep.,COD,2344860,905355
Congo Rep.,COG,342000,132047
Costa Rica,CRI,51100,19730
Cote d'Ivoire,CIV,322460,124503
Croatia,HRV,56590,21850
Cuba,CUB,109880,42425
Curacao,CUW,444,171
Cyprus,CYP,9250,3571
Czech Republic,CZE,78870,30452
Denmark,DNK,43090,16637
Djibouti,DJI,23200,8958
Dominica,DMA,750,290
Dominican Republic,DOM,48670,18792
Ecuador,ECU,256370,98985
Egypt,EGY,1001450,386662
El Salvador,SLV,21040,8124
Equatorial Guinea,GNQ,28050,10830
Eritrea,ERI,117600,45406
Estonia,EST,45230,17463
Ethiopia,ETH,1104300,426372
Faeroe Islands,FRO,1396,539
Fiji,FJI,18270,7054
Finland,FIN,338420,130665
France,FRA,549087,212004
French Polynesia,PYF,4000,1544
Gabon,GAB,267670,103348
Gambia,GMB,11300,4363
Georgia,GEO,69700,26911
Germany,DEU,357170,137904
Ghana,GHA,238540,92101
Greece,GRC,131960,50950
Greenland,GRL,410450,158476
Grenada,GRD,340,131
Guam,GUM,540,209
Guatemala,GTM,108890,42043
Guinea,GIN,245860,94927
Guinea-Bissau,GNB,36130,13950
Guyana,GUY,214970,83000
Haiti,HTI,27750,10714
Honduras,HND,112490,43433
Hungary,HUN,93030,35919
Iceland,ISL,103000,39769
India,IND,3287260,1269218
Indonesia,IDN,1910930,737814
Iran,IRN,1745150,673806
Iraq,IRQ,435240,168047
Ireland,IRL,70280,27135
Isle of Man,IMN,570,220
Israel,ISR,22070,8521
Italy,ITA,301340,116348
Jamaica,JAM,10990,4243
Japan,JPN,377962,145932
Jordan,JOR,89320,34487
Kazakhstan,KAZ,2724902,1052090
Kenya,KEN,580370,224082
Kiribati,KIR,810,313
Korea Dem. Rep.,PRK,120540,46541
Korea Rep.,KOR,100266,38713
Kosovo,KSV,10887,4204
Kuwait,KWT,17820,6880
Kyrgyz Republic,KGZ,199949,77201
Lao PDR,LAO,236800,91429
Latvia,LVA,64490,24900
Lebanon,LBN,10450,4035
Lesotho,LSO,30360,11722
Liberia,LBR,111370,43000
Libya,LBY,1759540,679362
Liechtenstein,LIE,160,62
Lithuania,LTU,65300,25213
Luxembourg,LUX,2590,1000
Macedonia,MKD,25710,9927
Madagascar,MDG,587295,226756
Malawi,MWI,118480,45745
Malaysia,MYS,330800,127723
Maldives,MDV,300,116
